iter,test_error,train_loss,weight_norm
0.0,0.21040189266204834,0.9835880994796753,7.0710673332214355
1.0,0.009456264786422253,0.341669499874115,8.685934066772461
2.0,0.01182033121585846,0.15578901767730713,10.907782554626465
3.0,0.007565011736005545,0.12881866097450256,12.334190368652344
4.0,0.003309692721813917,0.06983939558267593,13.795442581176758
5.0,0.004728132393211126,0.06896720826625824,14.466516494750977
6.0,0.002364066196605563,0.03295568376779556,16.323375701904297
7.0,0.0042553190141916275,0.03745054826140404,17.48243522644043
8.0,0.002364066196605563,0.017948659136891365,18.94518280029297
9.0,0.003309692721813917,0.018912458792328835,20.690797805786133
10.0,0.002364066196605563,0.011273413896560669,22.1014404296875
11.0,0.002364066196605563,0.011775718070566654,23.343761444091797
12.0,0.0018912529340013862,0.007051164750009775,25.063310623168945
13.0,0.0028368793427944183,0.007979733869433403,26.16241455078125
14.0,0.0018912529340013862,0.0049118418246507645,27.65599250793457
15.0,0.0028368793427944183,0.005087574478238821,28.929311752319336
16.0,0.0018912529340013862,0.0042368038557469845,30.238576889038086
17.0,0.0028368793427944183,0.003349333768710494,31.013275146484375
18.0,0.0018912529340013862,0.003214114811271429,32.535987854003906
19.0,0.0028368793427944183,0.0024173164274543524,33.12936782836914
20.0,0.0028368793427944183,0.0018902986776083708,34.375450134277344
21.0,0.003309692721813917,0.0016626493306830525,35.25905990600586
22.0,0.0028368793427944183,0.0013156681088730693,36.494850158691406
23.0,0.0028368793427944183,0.001215909724123776,37.3260498046875
24.0,0.0028368793427944183,0.0008585109026171267,38.587791442871094
25.0,0.0028368793427944183,0.0009081370080821216,39.46588897705078
26.0,0.0028368793427944183,0.0005708715762011707,40.6031608581543
27.0,0.0028368793427944183,0.0006794686196371913,41.54461669921875
28.0,0.0028368793427944183,0.00038668286288157105,42.6373405456543
29.0,0.0028368793427944183,0.0005026127328164876,43.630462646484375
30.0,0.0028368793427944183,0.0002606409543659538,44.72315979003906
31.0,0.0028368793427944183,0.00037156339385546744,45.76470947265625
32.0,0.0028368793427944183,0.0001797608274500817,46.832237243652344
33.0,0.0028368793427944183,0.0002732606662902981,47.905494689941406
34.0,0.002364066196605563,0.0001242491853190586,48.983970642089844
35.0,0.0028368793427944183,0.0001984487025765702,50.09810256958008
36.0,0.002364066196605563,8.698557212483138e-05,51.162109375
37.0,0.0028368793427944183,0.0001443793880753219,52.29025650024414
38.0,0.002364066196605563,6.054103505448438e-05,53.37157440185547
39.0,0.0028368793427944183,0.00010427059169160202,54.54611587524414
40.0,0.002364066196605563,4.274000457371585e-05,55.6115837097168
41.0,0.0028368793427944183,7.506509427912533e-05,56.7852897644043
42.0,0.002364066196605563,3.0233481083996594e-05,57.86562728881836
43.0,0.0028368793427944183,5.3870091505814344e-05,59.069549560546875
44.0,0.002364066196605563,2.1408050088211894e-05,60.152835845947266
45.0,0.0028368793427944183,3.8595127989538014e-05,61.375186920166016
46.0,0.002364066196605563,1.5239448657666799e-05,62.46152877807617
47.0,0.0028368793427944183,2.7591100661084056e-05,63.682186126708984
48.0,0.002364066196605563,1.0847232260857709e-05,64.77863311767578
49.0,0.0028368793427944183,1.9637900550151244e-05,66.02764129638672
50.0,0.002364066196605563,7.711673788435291e-06,67.13517761230469
51.0,0.0028368793427944183,1.4063745766179636e-05,68.37701416015625
52.0,0.002364066196605563,5.487186626851326e-06,69.48786163330078
53.0,0.0028368793427944183,9.981516996049322e-06,70.75696563720703
54.0,0.002364066196605563,3.923668373317923e-06,71.8700942993164
55.0,0.0028368793427944183,7.100444236129988e-06,73.12126922607422
56.0,0.002364066196605563,2.8040824417985277e-06,74.24375915527344
57.0,0.0028368793427944183,4.96803750138497e-06,75.51575469970703
58.0,0.002364066196605563,2.0280765511415666e-06,76.64706420898438
59.0,0.0028368793427944183,3.5710461361304624e-06,77.87472534179688
60.0,0.002364066196605563,1.4443590998780564e-06,79.01504516601562
61.0,0.0028368793427944183,2.5064950932573993e-06,80.29087829589844
62.0,0.002364066196605563,1.0407313766336301e-06,81.43966674804688
63.0,0.0028368793427944183,1.8120956610800931e-06,82.65544128417969
64.0,0.002364066196605563,7.432329311996e-07,83.80110931396484
65.0,0.002364066196605563,1.2885935802842141e-06,85.06620025634766
66.0,0.002364066196605563,5.310928941071325e-07,86.21839141845703
67.0,0.0018912529340013862,9.214190299644542e-07,87.46430206298828
68.0,0.002364066196605563,3.782029125432018e-07,88.62549591064453
69.0,0.0018912529340013862,6.596653179258283e-07,89.88921356201172
70.0,0.002364066196605563,2.6960464083458646e-07,91.04265594482422
71.0,0.0018912529340013862,4.696785538271797e-07,92.3238525390625
72.0,0.002364066196605563,1.9174555632162082e-07,93.49278259277344
73.0,0.0018912529340013862,3.352167254888627e-07,94.75768280029297
74.0,0.002364066196605563,1.3713444957375032e-07,95.92061614990234
75.0,0.0018912529340013862,2.3777980118211417e-07,97.2008285522461
76.0,0.002364066196605563,9.796424649266555e-08,98.37006378173828
77.0,0.0018912529340013862,1.692528002195104e-07,99.64328002929688
78.0,0.002364066196605563,6.979691136166366e-08,100.81977844238281
79.0,0.0018912529340013862,1.208095170568413e-07,102.09571838378906
80.0,0.002364066196605563,4.9734637741494225e-08,103.2668685913086
81.0,0.0018912529340013862,8.579361576721567e-08,104.56175994873047
82.0,0.002364066196605563,3.540498383358681e-08,105.74467468261719
83.0,0.0018912529340013862,6.112314565598354e-08,107.0179214477539
84.0,0.002364066196605563,2.5286761129450497e-08,108.19927215576172
85.0,0.0018912529340013862,4.330105340955015e-08,109.48766326904297
86.0,0.002364066196605563,1.804193772159124e-08,110.67144775390625
87.0,0.0018912529340013862,3.082022459466316e-08,111.9522933959961
88.0,0.002364066196605563,1.285905515402419e-08,113.14199829101562
89.0,0.0014184396713972092,2.1949965400835936e-08,114.42152404785156
90.0,0.002364066196605563,9.149403012997936e-09,115.61567687988281
91.0,0.0018912529340013862,1.5560766897237954e-08,116.9078369140625
92.0,0.002364066196605563,6.5142704563925236e-09,118.10267639160156
