iter,train_loss,weight_norm
0.0,1.0404843091964722,7.071067810058594
1.0,1.0090627670288086,9.082367897033691
2.0,0.8820725679397583,8.481815338134766
3.0,0.8362099528312683,10.354033470153809
4.0,0.9537353515625,12.667862892150879
5.0,0.7012701034545898,13.08889389038086
6.0,0.6575767397880554,15.872096061706543
7.0,0.9751341938972473,19.80994415283203
8.0,0.6710100173950195,19.051427841186523
9.0,0.5560179948806763,21.470108032226562
10.0,0.46540170907974243,22.344337463378906
11.0,0.4006381928920746,26.72759437561035
12.0,0.5006572008132935,29.140764236450195
13.0,0.5649462938308716,30.943504333496094
14.0,0.4719386696815491,31.141088485717773
15.0,0.5764598250389099,33.45891571044922
16.0,0.3538481593132019,33.94991683959961
17.0,0.32678577303886414,35.93771743774414
18.0,0.33951836824417114,37.40396499633789
19.0,0.30160778760910034,37.66818618774414
20.0,0.32047635316848755,40.546241760253906
21.0,0.28284478187561035,41.87383270263672
22.0,0.2936879098415375,42.64990997314453
23.0,0.28921598196029663,43.76087188720703
24.0,0.25725072622299194,45.14421081542969
25.0,0.25472596287727356,46.98203659057617
26.0,0.24189145863056183,47.353885650634766
27.0,0.22813017666339874,48.89133071899414
28.0,0.27168914675712585,51.579193115234375
29.0,0.2033902108669281,52.75410461425781
30.0,0.2026648223400116,56.01422119140625
31.0,0.27921926975250244,58.04072570800781
32.0,0.20240738987922668,58.33976745605469
33.0,0.18898674845695496,58.78404998779297
34.0,0.19410715997219086,60.05744552612305
35.0,0.17787042260169983,60.97110366821289
36.0,0.2912213206291199,62.86847686767578
37.0,0.24283556640148163,63.66264724731445
38.0,0.17104266583919525,64.65587615966797
39.0,0.17435556650161743,66.82355499267578
40.0,0.1743415892124176,68.41549682617188
41.0,0.30464011430740356,69.3290023803711
42.0,0.16565212607383728,69.4017333984375
43.0,0.19706061482429504,70.87400817871094
44.0,0.15894165635108948,72.04117584228516
45.0,0.17934511601924896,73.68252563476562
46.0,0.19644948840141296,77.62232971191406
47.0,0.1828768253326416,78.83204650878906
48.0,0.16183874011039734,79.26371765136719
