iter,test_error,train_loss,weight_norm
0.0,0.503000020980835,1.0,0.0
1.0,0.20000000298023224,0.6385566592216492,0.5084601044654846
2.0,0.17666666209697723,0.4673824608325958,0.896981418132782
3.0,0.1653333306312561,0.35992252826690674,1.2530049085617065
4.0,0.1613333374261856,0.28519490361213684,1.5870412588119507
5.0,0.16066665947437286,0.2302968055009842,1.9074360132217407
6.0,0.1616666615009308,0.18854010105133057,2.217672109603882
7.0,0.164000004529953,0.1559833139181137,2.5201568603515625
8.0,0.164000004529953,0.13012124598026276,2.8163297176361084
9.0,0.16633333265781403,0.10927458107471466,3.1073389053344727
10.0,0.1653333306312561,0.09227285534143448,3.3940157890319824
11.0,0.16866666078567505,0.07827400416135788,3.677037477493286
12.0,0.1706666648387909,0.06665647774934769,3.9569339752197266
13.0,0.17100000381469727,0.056951384991407394,4.234136581420898
14.0,0.1693333387374878,0.048798561096191406,4.508997440338135
15.0,0.1693333387374878,0.04191701114177704,4.781804084777832
16.0,0.1706666648387909,0.036084577441215515,5.052797317504883
17.0,0.1706666648387909,0.031123654916882515,5.322178363800049
18.0,0.17133332788944244,0.026890838518738747,5.590119361877441
19.0,0.1720000058412552,0.023269329220056534,5.856765270233154
20.0,0.1720000058412552,0.02016329951584339,6.122241020202637
21.0,0.17266666889190674,0.01749362051486969,6.386656761169434
22.0,0.1733333319425583,0.015194552019238472,6.650107383728027
23.0,0.17499999701976776,0.013211202807724476,6.912676811218262
24.0,0.17499999701976776,0.011497539468109608,7.174437522888184
25.0,0.17533333599567413,0.010014789178967476,7.435456275939941
26.0,0.1756666600704193,0.008730180561542511,7.695789337158203
27.0,0.17599999904632568,0.0076159266754984856,7.955490589141846
28.0,0.17599999904632568,0.006648389156907797,8.214606285095215
29.0,0.17666666209697723,0.005807420704513788,8.473177909851074
30.0,0.17666666209697723,0.0050757937133312225,8.731244087219238
31.0,0.1783333271741867,0.004438753239810467,8.988839149475098
32.0,0.1783333271741867,0.003883638186380267,9.245993614196777
33.0,0.17866666615009308,0.0033995595294982195,9.502737045288086
34.0,0.17933332920074463,0.0029771423432976007,9.759095191955566
35.0,0.17900000512599945,0.0026082994882017374,10.015093803405762
36.0,0.17900000512599945,0.002286047674715519,10.270751953125
37.0,0.17900000512599945,0.00200434448197484,10.526092529296875
38.0,0.17933332920074463,0.0017579630948603153,10.78113079071045
39.0,0.179666668176651,0.0015423684380948544,11.035887718200684
40.0,0.18000000715255737,0.0013536290498450398,11.29037857055664
41.0,0.179666668176651,0.0011883286060765386,11.54461669921875
42.0,0.18000000715255737,0.0010434980504214764,11.798617362976074
